model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../4_flexref/flexref_1.pdb	-	62	-90.103	5.400	0.133	12.566	12.547	0.173	23	4	10	2.439	0.000	0.000	1105.240	0.000	0.000	0.000	-4.056	0.000	-35.966	0.000	0.000	0.000	0.000	-72.799	-39.273	0.000	0.000
../4_flexref/flexref_67.pdb	-	63	-89.002	5.537	0.167	12.842	12.811	0.180	23	4	11	23.668	0.000	0.000	1063.160	0.000	0.000	0.000	-4.618	0.000	-38.275	0.000	0.000	0.000	0.000	-52.451	-37.844	0.000	0.000
../4_flexref/flexref_30.pdb	-	64	-89.001	5.827	0.233	13.841	13.824	0.190	31	8	4	4.710	0.000	0.000	958.053	0.000	0.000	0.000	-2.855	0.000	-40.877	0.000	0.000	0.000	0.000	-72.326	-36.159	0.000	0.000
../4_flexref/flexref_134.pdb	-	65	-88.544	5.101	0.133	11.970	11.946	0.183	46	6	6	0.672	0.000	0.000	784.396	0.000	0.000	0.000	2.316	0.000	-54.477	0.000	0.000	0.000	0.000	-82.411	-28.606	0.000	0.000
../4_flexref/flexref_26.pdb	-	66	-88.408	5.395	0.167	12.567	12.553	0.184	23	4	12	31.295	0.000	0.000	1086.380	0.000	0.000	0.000	-2.159	0.000	-40.856	0.000	0.000	0.000	0.000	-47.219	-37.658	0.000	0.000
../4_flexref/flexref_166.pdb	-	67	-88.401	5.272	0.233	12.182	12.183	0.212	40	2	7	0.012	0.000	0.000	846.669	0.000	0.000	0.000	-1.805	0.000	-38.590	0.000	0.000	0.000	0.000	-78.118	-39.539	0.000	0.000
../4_flexref/flexref_104.pdb	-	68	-88.240	5.463	0.167	12.793	12.772	0.181	23	4	13	26.676	0.000	0.000	988.103	0.000	0.000	0.000	-3.884	0.000	-41.538	0.000	0.000	0.000	0.000	-50.466	-35.604	0.000	0.000
../4_flexref/flexref_71.pdb	-	69	-88.215	4.871	0.133	11.446	11.444	0.192	47	11	2	2.572	0.000	0.000	703.745	0.000	0.000	0.000	3.060	0.000	-59.134	0.000	0.000	0.000	0.000	-81.923	-25.361	0.000	0.000
../4_flexref/flexref_193.pdb	-	70	-88.098	4.927	0.133	11.503	11.503	0.190	48	12	1	33.385	0.000	0.000	716.380	0.000	0.000	0.000	0.795	0.000	-59.848	0.000	0.000	0.000	0.000	-51.682	-25.220	0.000	0.000
../4_flexref/flexref_72.pdb	-	71	-87.475	5.134	0.233	11.864	11.885	0.217	39	10	3	47.478	0.000	0.000	782.095	0.000	0.000	0.000	-2.144	0.000	-44.878	0.000	0.000	0.000	0.000	-34.780	-37.380	0.000	0.000
../4_flexref/flexref_179.pdb	-	72	-87.458	3.310	0.400	7.932	7.945	0.368	10	14	1	1.414	0.000	0.000	758.046	0.000	0.000	0.000	-1.107	0.000	-51.549	0.000	0.000	0.000	0.000	-77.499	-27.363	0.000	0.000
../4_flexref/flexref_199.pdb	-	73	-87.323	2.731	0.400	6.376	6.373	0.424	12	3	11	24.677	0.000	0.000	898.661	0.000	0.000	0.000	-4.363	0.000	-39.377	0.000	0.000	0.000	0.000	-51.764	-37.064	0.000	0.000
../4_flexref/flexref_69.pdb	-	74	-86.999	5.775	0.200	13.485	13.487	0.183	36	9	5	2.700	0.000	0.000	838.742	0.000	0.000	0.000	-3.509	0.000	-37.880	0.000	0.000	0.000	0.000	-72.673	-37.492	0.000	0.000
../4_flexref/flexref_9.pdb	-	75	-86.952	5.502	0.200	12.852	12.849	0.191	37	7	6	2.719	0.000	0.000	823.912	0.000	0.000	0.000	-4.429	0.000	-32.747	0.000	0.000	0.000	0.000	-71.837	-41.809	0.000	0.000
../4_flexref/flexref_49.pdb	-	76	-86.892	5.601	0.200	13.018	13.017	0.189	36	9	6	6.297	0.000	0.000	854.488	0.000	0.000	0.000	-3.709	0.000	-35.691	0.000	0.000	0.000	0.000	-68.971	-39.576	0.000	0.000
../4_flexref/flexref_79.pdb	-	77	-86.732	5.432	0.200	12.600	12.595	0.195	37	7	7	11.350	0.000	0.000	883.736	0.000	0.000	0.000	-1.808	0.000	-38.715	0.000	0.000	0.000	0.000	-65.873	-38.508	0.000	0.000
../4_flexref/flexref_18.pdb	-	78	-86.631	5.553	0.200	12.866	12.891	0.191	37	7	8	1.624	0.000	0.000	861.787	0.000	0.000	0.000	-4.924	0.000	-27.495	0.000	0.000	0.000	0.000	-71.628	-45.757	0.000	0.000
../4_flexref/flexref_163.pdb	-	79	-86.525	5.486	0.200	12.746	12.754	0.192	37	7	9	33.004	0.000	0.000	793.465	0.000	0.000	0.000	-3.806	0.000	-38.800	0.000	0.000	0.000	0.000	-45.080	-39.284	0.000	0.000
../4_flexref/flexref_168.pdb	-	80	-86.503	6.043	0.333	14.603	14.598	0.215	31	8	5	34.206	0.000	0.000	892.566	0.000	0.000	0.000	3.319	0.000	-46.377	0.000	0.000	0.000	0.000	-50.112	-37.940	0.000	0.000
../4_flexref/flexref_161.pdb	-	81	-86.280	5.025	0.133	11.760	11.754	0.186	48	12	2	2.116	0.000	0.000	672.035	0.000	0.000	0.000	1.720	0.000	-49.557	0.000	0.000	0.000	0.000	-79.375	-31.934	0.000	0.000
../4_flexref/flexref_164.pdb	-	82	-86.070	3.077	0.533	7.407	7.374	0.431	11	1	11	2.278	0.000	0.000	875.937	0.000	0.000	0.000	-2.410	0.000	-35.537	0.000	0.000	0.000	0.000	-72.850	-39.591	0.000	0.000
../4_flexref/flexref_120.pdb	-	83	-85.380	5.530	0.200	12.825	12.809	0.191	37	7	10	31.313	0.000	0.000	918.760	0.000	0.000	0.000	-4.725	0.000	-29.314	0.000	0.000	0.000	0.000	-43.286	-45.285	0.000	0.000
../4_flexref/flexref_95.pdb	-	84	-85.077	2.930	0.533	7.006	7.017	0.446	11	1	12	0.414	0.000	0.000	899.608	0.000	0.000	0.000	0.635	0.000	-34.178	0.000	0.000	0.000	0.000	-76.343	-42.579	0.000	0.000
../4_flexref/flexref_117.pdb	-	85	-85.003	4.807	0.100	11.366	11.349	0.182	47	11	3	6.020	0.000	0.000	707.431	0.000	0.000	0.000	3.785	0.000	-63.891	0.000	0.000	0.000	0.000	-76.295	-18.425	0.000	0.000
../4_flexref/flexref_42.pdb	-	86	-84.504	5.446	0.200	12.667	12.659	0.194	36	9	7	1.076	0.000	0.000	857.815	0.000	0.000	0.000	-3.461	0.000	-31.643	0.000	0.000	0.000	0.000	-71.497	-40.930	0.000	0.000
../4_flexref/flexref_125.pdb	-	87	-84.431	2.925	0.433	6.894	6.902	0.415	12	3	12	2.819	0.000	0.000	870.743	0.000	0.000	0.000	-4.970	0.000	-34.284	0.000	0.000	0.000	0.000	-68.217	-36.752	0.000	0.000
../4_flexref/flexref_160.pdb	-	88	-84.336	5.552	0.200	12.878	12.897	0.190	37	7	11	6.083	0.000	0.000	878.056	0.000	0.000	0.000	-4.597	0.000	-28.723	0.000	0.000	0.000	0.000	-65.484	-42.844	0.000	0.000
../4_flexref/flexref_145.pdb	-	89	-84.271	5.482	0.200	12.772	12.763	0.192	36	9	8	31.631	0.000	0.000	849.149	0.000	0.000	0.000	-3.329	0.000	-39.767	0.000	0.000	0.000	0.000	-43.983	-35.846	0.000	0.000
../4_flexref/flexref_172.pdb	-	90	-83.777	3.015	0.400	7.198	7.183	0.394	13	15	1	2.276	0.000	0.000	731.175	0.000	0.000	0.000	-2.810	0.000	-46.642	0.000	0.000	0.000	0.000	-71.607	-27.242	0.000	0.000
../4_flexref/flexref_140.pdb	-	91	-83.629	2.915	0.533	6.965	6.971	0.447	11	1	13	4.443	0.000	0.000	846.256	0.000	0.000	0.000	0.620	0.000	-40.010	0.000	0.000	0.000	0.000	-71.788	-36.221	0.000	0.000
../4_flexref/flexref_85.pdb	-	92	-83.539	5.052	0.100	11.811	11.805	0.174	48	12	3	3.079	0.000	0.000	654.343	0.000	0.000	0.000	-1.083	0.000	-52.050	0.000	0.000	0.000	0.000	-73.141	-24.170	0.000	0.000
../4_flexref/flexref_37.pdb	-	93	-83.507	3.046	0.533	7.318	7.330	0.434	11	1	14	0.893	0.000	0.000	844.083	0.000	0.000	0.000	-1.515	0.000	-38.105	0.000	0.000	0.000	0.000	-72.748	-35.535	0.000	0.000
../4_flexref/flexref_90.pdb	-	94	-83.457	5.497	0.200	12.830	12.821	0.191	37	7	12	7.895	0.000	0.000	903.025	0.000	0.000	0.000	-5.233	0.000	-27.145	0.000	0.000	0.000	0.000	-62.088	-42.838	0.000	0.000
../4_flexref/flexref_23.pdb	-	95	-82.757	2.943	0.433	7.000	6.967	0.412	9	13	2	0.133	0.000	0.000	754.725	0.000	0.000	0.000	-2.496	0.000	-40.121	0.000	0.000	0.000	0.000	-72.595	-32.607	0.000	0.000
../4_flexref/flexref_91.pdb	-	96	-82.480	5.591	0.200	12.994	13.007	0.189	36	9	9	18.904	0.000	0.000	850.498	0.000	0.000	0.000	-4.461	0.000	-38.398	0.000	0.000	0.000	0.000	-52.502	-33.007	0.000	0.000
../4_flexref/flexref_39.pdb	-	97	-82.218	2.813	0.467	6.596	6.569	0.437	12	3	13	0.119	0.000	0.000	801.982	0.000	0.000	0.000	-6.469	0.000	-32.971	0.000	0.000	0.000	0.000	-67.622	-34.770	0.000	0.000
../4_flexref/flexref_57.pdb	-	98	-81.881	5.610	0.200	13.093	13.086	0.188	37	7	13	18.742	0.000	0.000	857.254	0.000	0.000	0.000	-5.552	0.000	-24.201	0.000	0.000	0.000	0.000	-50.889	-45.429	0.000	0.000
../4_flexref/flexref_4.pdb	-	99	-81.211	5.463	0.167	12.828	12.788	0.181	23	4	14	5.998	0.000	0.000	1064.810	0.000	0.000	0.000	-0.316	0.000	-31.590	0.000	0.000	0.000	0.000	-64.849	-39.257	0.000	0.000
../4_flexref/flexref_70.pdb	-	100	-80.950	4.576	0.133	10.813	10.820	0.204	47	11	4	1.024	0.000	0.000	718.888	0.000	0.000	0.000	-0.056	0.000	-45.815	0.000	0.000	0.000	0.000	-72.783	-27.992	0.000	0.000
../4_flexref/flexref_101.pdb	-	101	-80.825	5.572	0.233	13.023	13.010	0.200	23	4	15	3.323	0.000	0.000	1113.790	0.000	0.000	0.000	-1.496	0.000	-23.383	0.000	0.000	0.000	0.000	-65.201	-45.141	0.000	0.000
../4_flexref/flexref_194.pdb	-	102	-80.656	2.917	0.500	7.064	7.088	0.434	11	1	15	13.156	0.000	0.000	870.137	0.000	0.000	0.000	-0.761	0.000	-43.120	0.000	0.000	0.000	0.000	-59.352	-29.388	0.000	0.000
