model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../07_flexref/flexref_55.pdb	-	1	-157.283	0.678	0.867	1.295	1.321	0.891	21	1	1	1.629	0.000	0.000	1049.940	0.000	0.000	0.000	-3.053	0.000	-99.382	0.000	0.000	0.000	0.000	-142.265	-44.512	0.000	0.000
../07_flexref/flexref_57.pdb	-	2	-150.897	1.153	0.900	2.702	2.803	0.812	21	1	2	0.579	0.000	0.000	1121.310	0.000	0.000	0.000	-2.417	0.000	-87.633	0.000	0.000	0.000	0.000	-136.745	-49.691	0.000	0.000
../07_flexref/flexref_49.pdb	-	3	-140.755	0.994	0.867	2.369	2.374	0.830	21	1	3	0.031	0.000	0.000	1089.150	0.000	0.000	0.000	-5.919	0.000	-71.300	0.000	0.000	0.000	0.000	-123.916	-52.648	0.000	0.000
../07_flexref/flexref_79.pdb	-	4	-140.739	1.073	0.767	2.498	2.465	0.783	21	1	4	33.544	0.000	0.000	981.558	0.000	0.000	0.000	-2.383	0.000	-95.670	0.000	0.000	0.000	0.000	-98.351	-36.225	0.000	0.000
../07_flexref/flexref_33.pdb	-	5	-138.290	1.062	0.900	2.589	2.553	0.827	21	1	5	2.406	0.000	0.000	1101.220	0.000	0.000	0.000	-5.166	0.000	-69.660	0.000	0.000	0.000	0.000	-119.946	-52.692	0.000	0.000
../07_flexref/flexref_93.pdb	-	6	-133.667	3.028	0.500	7.426	7.431	0.421	13	2	1	0.377	0.000	0.000	1198.650	0.000	0.000	0.000	0.365	0.000	-74.211	0.000	0.000	0.000	0.000	-121.707	-47.872	0.000	0.000
../07_flexref/flexref_15.pdb	-	7	-133.456	1.065	0.900	2.541	2.496	0.828	21	1	6	3.450	0.000	0.000	1103.420	0.000	0.000	0.000	-4.365	0.000	-72.481	0.000	0.000	0.000	0.000	-114.951	-45.920	0.000	0.000
../07_flexref/flexref_1.pdb	-	8	-128.031	5.604	0.167	12.983	12.967	0.178	46	3	1	1.119	0.000	0.000	1085.190	0.000	0.000	0.000	-0.966	0.000	-67.225	0.000	0.000	0.000	0.000	-115.205	-49.100	0.000	0.000
../07_flexref/flexref_109.pdb	-	9	-125.270	3.137	0.400	7.717	7.748	0.378	13	2	2	23.894	0.000	0.000	1065.870	0.000	0.000	0.000	0.586	0.000	-70.059	0.000	0.000	0.000	0.000	-93.693	-47.528	0.000	0.000
../07_flexref/flexref_4.pdb	-	10	-120.732	5.535	0.233	12.788	12.777	0.203	46	3	2	34.360	0.000	0.000	1108.920	0.000	0.000	0.000	-2.754	0.000	-68.226	0.000	0.000	0.000	0.000	-75.964	-42.098	0.000	0.000
../07_flexref/flexref_24.pdb	-	11	-119.536	0.999	0.900	2.310	2.331	0.841	21	1	7	0.678	0.000	0.000	1079.480	0.000	0.000	0.000	-4.782	0.000	-54.720	0.000	0.000	0.000	0.000	-103.349	-49.307	0.000	0.000
../07_flexref/flexref_54.pdb	-	12	-117.388	3.801	0.100	9.844	9.817	0.221	10	5	1	32.851	0.000	0.000	958.843	0.000	0.000	0.000	2.686	0.000	-72.031	0.000	0.000	0.000	0.000	-80.920	-41.739	0.000	0.000
../07_flexref/flexref_107.pdb	-	13	-116.067	3.046	0.367	7.430	7.408	0.376	13	2	3	1.477	0.000	0.000	1122.300	0.000	0.000	0.000	0.893	0.000	-66.384	0.000	0.000	0.000	0.000	-104.407	-39.500	0.000	0.000
../07_flexref/flexref_72.pdb	-	14	-115.606	0.865	0.833	1.920	1.910	0.845	21	1	8	28.047	0.000	0.000	1024.510	0.000	0.000	0.000	-4.116	0.000	-60.842	0.000	0.000	0.000	0.000	-76.004	-43.208	0.000	0.000
../07_flexref/flexref_25.pdb	-	15	-114.087	5.410	0.133	12.404	12.413	0.175	46	3	3	0.008	0.000	0.000	1001.880	0.000	0.000	0.000	-1.366	0.000	-65.758	0.000	0.000	0.000	0.000	-102.695	-36.945	0.000	0.000
../07_flexref/flexref_86.pdb	-	16	-113.104	5.474	0.200	12.616	12.617	0.194	46	3	4	34.119	0.000	0.000	1067.200	0.000	0.000	0.000	-1.379	0.000	-67.919	0.000	0.000	0.000	0.000	-70.346	-36.546	0.000	0.000
../07_flexref/flexref_7.pdb	-	17	-111.412	5.538	0.167	12.755	12.756	0.181	46	3	5	3.251	0.000	0.000	1061.770	0.000	0.000	0.000	-2.223	0.000	-58.145	0.000	0.000	0.000	0.000	-95.646	-40.752	0.000	0.000
../07_flexref/flexref_116.pdb	-	18	-110.214	3.388	0.333	8.552	8.554	0.331	13	2	4	34.657	0.000	0.000	1020.700	0.000	0.000	0.000	1.628	0.000	-65.431	0.000	0.000	0.000	0.000	-70.443	-39.670	0.000	0.000
../07_flexref/flexref_77.pdb	-	19	-110.139	2.738	0.533	6.622	6.578	0.462	19	7	1	10.073	0.000	0.000	851.271	0.000	0.000	0.000	-2.852	0.000	-62.303	0.000	0.000	0.000	0.000	-89.709	-37.479	0.000	0.000
../07_flexref/flexref_30.pdb	-	20	-110.029	4.939	0.233	11.416	11.425	0.225	45	4	1	35.112	0.000	0.000	809.149	0.000	0.000	0.000	0.971	0.000	-65.211	0.000	0.000	0.000	0.000	-71.307	-41.208	0.000	0.000
../07_flexref/flexref_101.pdb	-	21	-109.405	3.396	0.267	8.509	8.472	0.310	13	2	5	36.905	0.000	0.000	975.253	0.000	0.000	0.000	-0.314	0.000	-69.492	0.000	0.000	0.000	0.000	-66.123	-33.537	0.000	0.000
../07_flexref/flexref_47.pdb	-	22	-107.465	5.061	0.367	12.729	12.620	0.252	32	6	1	0.592	0.000	0.000	908.506	0.000	0.000	0.000	-0.543	0.000	-67.501	0.000	0.000	0.000	0.000	-97.305	-30.396	0.000	0.000
../07_flexref/flexref_10.pdb	-	23	-104.079	5.163	0.200	11.905	11.919	0.205	45	4	2	29.821	0.000	0.000	840.282	0.000	0.000	0.000	-1.640	0.000	-55.236	0.000	0.000	0.000	0.000	-67.197	-41.782	0.000	0.000
../07_flexref/flexref_9.pdb	-	24	-103.744	5.288	0.267	12.206	12.211	0.223	45	4	3	1.075	0.000	0.000	915.808	0.000	0.000	0.000	-2.356	0.000	-49.346	0.000	0.000	0.000	0.000	-91.262	-42.991	0.000	0.000
../07_flexref/flexref_139.pdb	-	25	-102.966	3.555	0.200	9.155	9.160	0.271	10	5	2	39.539	0.000	0.000	1023.670	0.000	0.000	0.000	3.158	0.000	-48.895	0.000	0.000	0.000	0.000	-60.301	-50.946	0.000	0.000
../07_flexref/flexref_16.pdb	-	26	-102.619	5.878	0.267	14.431	14.376	0.195	32	6	2	33.513	0.000	0.000	972.939	0.000	0.000	0.000	1.912	0.000	-60.938	0.000	0.000	0.000	0.000	-64.639	-37.215	0.000	0.000
../07_flexref/flexref_3.pdb	-	27	-102.417	5.347	0.200	12.318	12.318	0.199	45	4	4	0.685	0.000	0.000	774.654	0.000	0.000	0.000	-2.605	0.000	-62.875	0.000	0.000	0.000	0.000	-91.449	-29.259	0.000	0.000
../07_flexref/flexref_41.pdb	-	28	-102.119	3.276	0.333	8.131	8.075	0.343	13	2	6	58.054	0.000	0.000	992.280	0.000	0.000	0.000	-0.105	0.000	-59.128	0.000	0.000	0.000	0.000	-39.842	-38.768	0.000	0.000
../07_flexref/flexref_26.pdb	-	29	-101.342	5.501	0.167	12.775	12.770	0.181	45	4	5	28.065	0.000	0.000	926.692	0.000	0.000	0.000	-5.291	0.000	-48.371	0.000	0.000	0.000	0.000	-61.526	-41.220	0.000	0.000
../07_flexref/flexref_97.pdb	-	30	-100.341	3.278	0.267	8.076	8.031	0.322	13	2	7	35.189	0.000	0.000	912.950	0.000	0.000	0.000	1.329	0.000	-68.271	0.000	0.000	0.000	0.000	-60.870	-27.789	0.000	0.000
../07_flexref/flexref_29.pdb	-	31	-99.316	5.476	0.100	12.641	12.655	0.160	45	4	6	0.613	0.000	0.000	853.957	0.000	0.000	0.000	2.139	0.000	-63.681	0.000	0.000	0.000	0.000	-92.364	-29.296	0.000	0.000
../07_flexref/flexref_2.pdb	-	32	-99.176	5.572	0.200	12.908	12.900	0.190	46	3	6	22.621	0.000	0.000	1135.780	0.000	0.000	0.000	1.893	0.000	-51.275	0.000	0.000	0.000	0.000	-69.352	-40.698	0.000	0.000
../07_flexref/flexref_13.pdb	-	33	-97.168	2.542	0.567	5.924	5.903	0.499	25	9	1	27.899	0.000	0.000	955.108	0.000	0.000	0.000	-6.410	0.000	-42.058	0.000	0.000	0.000	0.000	-56.098	-41.939	0.000	0.000
../07_flexref/flexref_98.pdb	-	34	-97.044	3.501	0.233	8.726	8.762	0.292	13	2	8	31.792	0.000	0.000	960.848	0.000	0.000	0.000	1.505	0.000	-45.158	0.000	0.000	0.000	0.000	-60.328	-46.962	0.000	0.000
../07_flexref/flexref_92.pdb	-	35	-96.539	3.585	0.300	9.022	9.009	0.306	13	2	9	38.454	0.000	0.000	985.730	0.000	0.000	0.000	3.459	0.000	-53.539	0.000	0.000	0.000	0.000	-55.532	-40.446	0.000	0.000
../07_flexref/flexref_35.pdb	-	36	-95.829	5.314	0.167	12.209	12.221	0.189	42	8	1	39.372	0.000	0.000	932.476	0.000	0.000	0.000	-0.673	0.000	-45.174	0.000	0.000	0.000	0.000	-50.396	-44.594	0.000	0.000
../07_flexref/flexref_68.pdb	-	37	-94.216	4.708	0.100	11.078	11.057	0.188	36	10	1	65.628	0.000	0.000	818.975	0.000	0.000	0.000	1.292	0.000	-56.969	0.000	0.000	0.000	0.000	-28.253	-36.912	0.000	0.000
../07_flexref/flexref_27.pdb	-	38	-92.936	5.086	0.167	11.801	11.812	0.196	45	4	7	46.225	0.000	0.000	862.630	0.000	0.000	0.000	-0.291	0.000	-50.791	0.000	0.000	0.000	0.000	-42.416	-37.849	0.000	0.000
../07_flexref/flexref_62.pdb	-	39	-91.944	3.289	0.267	8.441	8.445	0.314	10	5	3	23.694	0.000	0.000	1043.550	0.000	0.000	0.000	2.647	0.000	-37.171	0.000	0.000	0.000	0.000	-62.831	-49.353	0.000	0.000
../07_flexref/flexref_45.pdb	-	40	-90.869	5.225	0.267	12.986	12.916	0.214	32	6	3	9.098	0.000	0.000	989.964	0.000	0.000	0.000	0.018	0.000	-50.706	0.000	0.000	0.000	0.000	-72.799	-31.191	0.000	0.000
../07_flexref/flexref_23.pdb	-	41	-90.812	3.305	0.433	8.238	8.113	0.373	19	7	2	30.553	0.000	0.000	787.997	0.000	0.000	0.000	-1.646	0.000	-44.605	0.000	0.000	0.000	0.000	-53.789	-39.737	0.000	0.000
../07_flexref/flexref_115.pdb	-	42	-90.546	5.400	0.133	12.440	12.429	0.174	42	8	2	27.039	0.000	0.000	854.282	0.000	0.000	0.000	0.286	0.000	-55.489	0.000	0.000	0.000	0.000	-57.954	-29.504	0.000	0.000
../07_flexref/flexref_78.pdb	-	43	-90.280	5.291	0.133	12.171	12.177	0.179	42	8	3	1.067	0.000	0.000	914.797	0.000	0.000	0.000	1.545	0.000	-48.053	0.000	0.000	0.000	0.000	-81.718	-34.732	0.000	0.000
../07_flexref/flexref_32.pdb	-	44	-89.571	2.259	0.500	5.693	5.717	0.499	22	12	1	11.041	0.000	0.000	876.786	0.000	0.000	0.000	-2.151	0.000	-55.308	0.000	0.000	0.000	0.000	-68.715	-24.447	0.000	0.000
../07_flexref/flexref_56.pdb	-	45	-88.177	4.441	0.367	11.493	11.469	0.274	17	11	1	11.065	0.000	0.000	859.965	0.000	0.000	0.000	-0.112	0.000	-47.911	0.000	0.000	0.000	0.000	-69.507	-32.661	0.000	0.000
../07_flexref/flexref_5.pdb	-	46	-87.681	5.315	0.200	12.237	12.253	0.200	45	4	8	2.367	0.000	0.000	852.162	0.000	0.000	0.000	-0.597	0.000	-32.925	0.000	0.000	0.000	0.000	-76.432	-45.874	0.000	0.000
../07_flexref/flexref_21.pdb	-	47	-87.140	5.670	0.367	14.073	14.038	0.233	32	6	4	41.377	0.000	0.000	855.092	0.000	0.000	0.000	0.753	0.000	-53.381	0.000	0.000	0.000	0.000	-42.103	-30.098	0.000	0.000
../07_flexref/flexref_83.pdb	-	48	-86.247	5.362	0.167	12.351	12.353	0.187	42	8	4	34.994	0.000	0.000	987.534	0.000	0.000	0.000	-1.892	0.000	-35.946	0.000	0.000	0.000	0.000	-42.985	-42.033	0.000	0.000
../07_flexref/flexref_12.pdb	-	49	-85.844	5.136	0.167	11.873	11.882	0.195	45	4	9	0.465	0.000	0.000	824.193	0.000	0.000	0.000	0.190	0.000	-35.253	0.000	0.000	0.000	0.000	-77.374	-42.586	0.000	0.000
../07_flexref/flexref_22.pdb	-	50	-85.234	2.705	0.567	6.716	6.671	0.473	19	7	3	38.402	0.000	0.000	830.930	0.000	0.000	0.000	0.006	0.000	-41.553	0.000	0.000	0.000	0.000	-42.369	-39.219	0.000	0.000
../07_flexref/flexref_82.pdb	-	51	-84.375	5.475	0.133	12.587	12.593	0.172	45	4	10	1.746	0.000	0.000	959.308	0.000	0.000	0.000	1.371	0.000	-36.755	0.000	0.000	0.000	0.000	-74.581	-39.573	0.000	0.000
